
-1 -1 -1 0  -1 -1 -1 1  -1 -1 -1 4  -1 -1 -1 3  -1 -1 -1 9  -1 -1 -1 10  16 17 18 19  12 13 14 15 


-1 -1 -1 8  -1 -1 -1 9  12 13 14 15  -1 -1 -1 11  -1 -1 -1 23  -1 -1 -1 24  -1 -1 -1 27  -1 -1 -1 26 
-1 -1 -1 9  -1 -1 -1 10  16 17 18 19  12 13 14 15  -1 -1 -1 24  -1 -1 -1 25  -1 -1 -1 28  -1 -1 -1 27 

12 13 14 15  16 17 18 19  -1 -1 -1 22  -1 -1 -1 21  -1 -1 -1 27  -1 -1 -1 28  -1 -1 -1 31  -1 -1 -1 30 
