
4 5 6 7  8 9 10 11  20 21 22 23  16 17 18 19  40 41 42 43  44 45 46 47  56 57 58 59  52 53 54 55 


36 37 38 39  40 41 42 43  52 53 54 55  48 49 50 51  72 73 74 75  76 77 78 79  88 89 90 91  84 85 86 87 
40 41 42 43  44 45 46 47  56 57 58 59  52 53 54 55  76 77 78 79  80 81 82 83  92 93 94 95  88 89 90 91 

52 53 54 55  56 57 58 59  68 69 70 71  64 65 66 67  88 89 90 91  92 93 94 95  104 105 106 107  100 101 102 103 
